Entity,Code,Year,nuclear_weapons_stockpile
Китай,CHN,1945,0
Китай,CHN,1946,0
Китай,CHN,1947,0
Китай,CHN,1948,0
Китай,CHN,1949,0
Китай,CHN,1950,0
Китай,CHN,1951,0
Китай,CHN,1952,0
Китай,CHN,1953,0
Китай,CHN,1954,0
Китай,CHN,1955,0
Китай,CHN,1956,0
Китай,CHN,1957,0
Китай,CHN,1958,0
Китай,CHN,1959,0
Китай,CHN,1960,0
Китай,CHN,1961,0
Китай,CHN,1962,0
Китай,CHN,1963,0
Китай,CHN,1964,1
Китай,CHN,1965,5
Китай,CHN,1966,20
Китай,CHN,1967,25
Китай,CHN,1968,35
Китай,CHN,1969,50
Китай,CHN,1970,75
Китай,CHN,1971,100
Китай,CHN,1972,130
Китай,CHN,1973,150
Китай,CHN,1974,170
Китай,CHN,1975,180
Китай,CHN,1976,180
Китай,CHN,1977,180
Китай,CHN,1978,190
Китай,CHN,1979,195
Китай,CHN,1980,205
Китай,CHN,1981,210
Китай,CHN,1982,216
Китай,CHN,1983,218
Китай,CHN,1984,220
Китай,CHN,1985,222
Китай,CHN,1986,224
Китай,CHN,1987,226
Китай,CHN,1988,228
Китай,CHN,1989,230
Китай,CHN,1990,232
Китай,CHN,1991,234
Китай,CHN,1992,234
Китай,CHN,1993,234
Китай,CHN,1994,234
Китай,CHN,1995,234
Китай,CHN,1996,234
Китай,CHN,1997,232
Китай,CHN,1998,232
Китай,CHN,1999,232
Китай,CHN,2000,232
Китай,CHN,2001,235
Китай,CHN,2002,235
Китай,CHN,2003,235
Китай,CHN,2004,235
Китай,CHN,2005,235
Китай,CHN,2006,235
Китай,CHN,2007,235
Китай,CHN,2008,235
Китай,CHN,2009,240
Китай,CHN,2010,240
Китай,CHN,2011,240
Китай,CHN,2012,240
Китай,CHN,2013,250
Китай,CHN,2014,250
Китай,CHN,2015,260
Китай,CHN,2016,260
Китай,CHN,2017,270
Китай,CHN,2018,280
Китай,CHN,2019,290
Китай,CHN,2020,350
Китай,CHN,2021,350
Китай,CHN,2022,350
Франция,FRA,1945,0
